Month,Actual,SARIMA_Predictions,Exponential_Smoothing_Predictions
1951-01-01,145,140.96308250224655,133.66885330753018
1951-02-01,150,154.42023874101784,153.76824935752637
1951-03-01,178,163.4787184387892,166.1536090537145
1951-04-01,163,180.56442658435793,169.7639259823236
1951-05-01,172,152.96247721716406,149.8171066146066
1951-06-01,178,186.09241981801267,192.6676489282079
1951-07-01,199,205.353972802053,201.07058125217387
1951-08-01,199,190.9029309116258,197.67627047586902
1951-09-01,184,187.76408597223406,181.5280699967927
1951-10-01,162,165.39838885551754,154.132106601018
1951-11-01,146,146.07382076138293,134.5382277236738
1951-12-01,166,164.07651540717015,166.7899727770911
1952-01-01,171,165.15239679462604,164.31519600649645
1952-02-01,180,176.9723431331083,176.81382387374043
1952-03-01,193,203.92014916745381,203.71009592239412
1952-04-01,181,188.60999384007056,182.068626465216
1952-05-01,183,177.11445764166783,176.53079451934855
1952-06-01,218,195.62628132773102,197.07879792811642
1952-07-01,230,234.81639165543396,237.63128370089032
1952-08-01,242,235.3669733670426,229.15847667870528
1952-09-01,209,221.11660146488003,217.89549699026412
1952-10-01,191,195.65088929849946,179.91214532092846
1952-11-01,172,163.78143746343812,161.26113745486975
1952-12-01,194,200.11530555106623,193.38977995239614
1953-01-01,196,201.45200327376958,193.72423605586286
1953-02-01,196,203.89386329273614,203.4500037727114
1953-03-01,236,219.87740924186608,219.27024555810831
1953-04-01,235,212.89941279684595,214.63104464226416
1953-05-01,229,239.11234184463981,225.67913243253037
1953-06-01,243,244.83065633224913,255.11349729137177
1953-07-01,264,261.38551620419554,266.36807868898353
1953-08-01,272,266.7027609297605,267.15610816272005
1953-09-01,237,248.15888398773836,241.04457354595343
1953-10-01,211,221.49951839981455,206.95174642740884
1953-11-01,180,199.54156221818386,182.79376760481782
1953-12-01,201,204.51158442655327,204.86636181379916
1954-01-01,204,203.44961239973938,202.2362071634816
1954-02-01,188,210.10252182897105,208.83974523442214
1954-03-01,235,219.09791674631023,219.48249847737347
1954-04-01,227,224.47401271054719,219.65707602120258
1954-05-01,234,223.71150062406284,219.89397500927876
1954-06-01,264,252.56174163616757,252.41913713391142
1954-07-01,302,279.538354252398,283.42586828087286
1954-08-01,293,307.03151435902794,302.9731689612255
1954-09-01,259,266.0873588400997,260.2251079301774
1954-10-01,229,232.77237073537663,226.69795215586413
1954-11-01,203,206.229230576594,196.91190761935385
1954-12-01,229,222.61895423069447,226.87818965843704
1955-01-01,242,231.01378054778291,228.85472049762114
